time,latitude,longitude,altitude,desc
10:18:01 AM,29.8213,-95.6552,721.45,"tiny-vermilion-platypus,mammoth-sapphire-camel,stale-black-opossum,zesty-sangria-frog"
10:18:11 AM,29.8192,-95.6529,729.65,"tiny-vermilion-platypus,mammoth-sapphire-camel,stale-black-opossum"
10:18:22 AM,29.8167,-95.6502,711.94,"tiny-vermilion-platypus,mammoth-sapphire-camel,stale-black-opossum,zesty-sangria-frog"
10:18:33 AM,29.814,-95.6476,737.86,"future-ultraviolet-pig,tiny-vermilion-platypus,stale-black-opossum,zesty-sangria-frog"
10:18:43 AM,29.8115,-95.6455,793.63,"tiny-vermilion-platypus,stale-black-opossum,zesty-sangria-frog,recumbent-foggy-squirrel"
10:18:54 AM,29.8086,-95.6427,839.89,"future-ultraviolet-pig,tiny-vermilion-platypus,mammoth-sapphire-camel,stale-black-opossum,zesty-sangria-frog"
10:19:04 AM,29.8064,-95.6408,923.22,"future-ultraviolet-pig,mammoth-sapphire-camel,stale-black-opossum,zesty-sangria-frog"
10:19:15 AM,29.8041,-95.6388,974.08,"future-ultraviolet-pig,tiny-vermilion-platypus,mammoth-sapphire-camel,stale-black-opossum,zesty-sangria-frog"
10:19:26 AM,29.8016,-95.6366,1004.59,"future-ultraviolet-pig,recumbent-seaweed-ostrich,tiny-vermilion-platypus,mammoth-sapphire-camel,tiny-sangria-pig,zesty-sangria-frog"
10:19:37 AM,29.799,-95.6348,1042.65,"future-ultraviolet-pig,tiny-vermilion-platypus,mammoth-sapphire-camel,stale-black-opossum,zesty-sangria-frog"
10:19:46 AM,29.7964,-95.6329,1027.23,"future-ultraviolet-pig,tiny-sangria-pig,stale-black-opossum,zesty-sangria-frog"
10:19:57 AM,29.7934,-95.6304,1042.97,"future-ultraviolet-pig,mammoth-sapphire-camel,tiny-sangria-pig,stale-black-opossum,zesty-sangria-frog"
10:20:08 AM,29.7905,-95.6278,1116.14,"future-ultraviolet-pig,recumbent-seaweed-ostrich,tiny-vermilion-platypus,mammoth-sapphire-camel,stale-black-opossum,zesty-sangria-frog,original-zinc-cat"
10:20:19 AM,29.7877,-95.6258,1113.84,"delightful-gauze-finch,future-ultraviolet-pig,tiny-vermilion-platypus,mammoth-sapphire-camel,stale-black-opossum,zesty-sangria-frog,original-zinc-cat,delightful-coffee-hawk"
10:20:28 AM,29.7857,-95.6231,1186.67,"future-ultraviolet-pig,stale-black-opossum,zesty-sangria-frog,original-zinc-cat"
10:20:39 AM,29.7844,-95.6196,1172.57,"future-ultraviolet-pig,tiny-vermilion-platypus,stale-black-opossum,zesty-sangria-frog,original-zinc-cat"
10:20:50 AM,29.783,-95.6159,1187.66,"future-ultraviolet-pig,recumbent-seaweed-ostrich,tiny-vermilion-platypus,stale-black-opossum,zesty-sangria-frog"
10:21:02 AM,29.7809,-95.6121,1188.64,"future-ultraviolet-pig,furry-rouge-lemur,tiny-vermilion-platypus,skinny-pineapple-donkey,original-zinc-cat,delightful-coffee-hawk"
10:21:13 AM,29.7783,-95.6094,1206.36,"future-ultraviolet-pig,mammoth-sapphire-camel,zesty-sangria-frog"
10:21:25 AM,29.7739,-95.6098,1132.21,"future-ultraviolet-pig,furry-rouge-lemur,tiny-vermilion-platypus,stale-black-opossum,zesty-sangria-frog,skinny-pineapple-donkey,original-zinc-cat"
